~b~Michael              ,   player_zero
~b~Franklin             ,   player_one
~b~Trevor               ,   player_two
~g~Freemode ~q~Female   ,   mp_f_freemode_01
~g~Freemode ~o~Male     ,   mp_m_freemode_01
~y~C~o~l~b~o~g~w~r~n    ,   s_m_y_clown_01
~q~Dead Hooker          ,   mp_f_deadhooker
~q~Hooker               ,   s_f_y_hooker_01
~q~Hooker               ,   s_f_y_hooker_02
~q~Hooker               ,   s_f_y_hooker_03
~q~Stripper             ,   csb_stripper_01
~q~Stripper             ,   csb_stripper_02
~q~Stripper             ,   s_f_y_stripper_01
~q~Stripper             ,   s_f_y_stripper_02
~q~Stripperlite         ,   mp_f_stripperlite
~q~Stripperlite         ,   s_f_y_stripperlite
~q~Topless              ,   a_f_y_topless_01
~q~Tig Ol Bitties       ,   cs_karen_daniels
~b~Street Art Monkey    ,   u_m_m_streetart_01
~y~Zombie               ,   u_m_y_zombie_01
~t~Boar                 ,   a_c_boar
~t~Cat                  ,   a_c_cat_01
~t~Chimp                ,   a_c_chimp
~t~Chop                 ,   a_c_chop
~t~Cormorant            ,   a_c_cormorant
~t~Cow                  ,   a_c_cow
~t~Crow                 ,   a_c_crow
~t~Coyote               ,   a_c_coyote
~t~Deer                 ,   a_c_deer
~t~Dolphin              ,   a_c_dolphin
~t~Fish                 ,   a_c_fish
~t~Hawk                 ,   a_c_chickenhawk
~t~Hen                  ,   a_c_hen
~t~Humpback             ,   a_c_humpback
~t~Husky                ,   a_c_husky
~t~Mtlion               ,   a_c_mtlion
~t~Pig                  ,   a_c_pig
~t~Pigeon               ,   a_c_pigeon
~t~Poodle               ,   a_c_poodle
~t~Pug                  ,   a_c_pug
~t~Rabbit               ,   a_c_rabbit_01
~t~Rat                  ,   a_c_rat
~t~Retriever            ,   a_c_retriever
~t~Rhesus               ,   a_c_rhesus
~t~Rottweiler           ,   a_c_rottweiler
~t~Seagull              ,   a_c_seagull
~t~Sharkhammer          ,   a_c_sharkhammer
~t~Sharktiger           ,   a_c_sharktiger
~t~Shepherd             ,   a_c_shepherd
~t~Stingray             ,   a_c_stingray
~t~Westy                ,   a_c_westy
~t~Whale                ,   a_c_killerwhale
~g~Abigail CS           ,   csb_abigail
~g~Abigail IG           ,   ig_abigail
~y~Abner                ,   u_m_y_abner
~y~Acult                ,   a_m_m_acult_01
~y~Acult                ,   a_m_o_acult_01
~y~Acult                ,   a_m_o_acult_02
~y~Acult                ,   a_m_y_acult_01
~y~Acult                ,   a_m_y_acult_02
~y~Air Hostess          ,   s_f_y_airhostess_01
~y~Air Worker           ,   s_m_y_airworker
~y~Al Dinapoli          ,   u_m_m_aldinapoli
~y~Alien                ,   s_m_m_movalien_01
~q~Amanda Townley CS    ,   cs_amandatownley
~q~Amanda Townley IG    ,   ig_amandatownley
~y~AmmuCity             ,   s_m_y_ammucity_01
~y~AmmuCountry          ,   s_m_m_ammucountry
~g~Andreas CS           ,   cs_andreas
~g~Andreas IG           ,   ig_andreas
~y~Anita                ,   csb_anita
~y~Anton                ,   csb_anton
~y~Anton B              ,   u_m_y_antonb
~y~Armboss              ,   g_m_m_armboss_01
~y~Armgoon              ,   g_m_m_armgoon_01
~y~Armgoon              ,   g_m_y_armgoon_02
~y~Armlieut             ,   g_m_m_armlieut_01
~o~Armoured             ,   mp_s_m_armoured_01
~o~Armoured             ,   s_m_m_armoured_01
~o~Armoured             ,   s_m_m_armoured_02
~r~Armymech             ,   s_m_y_armymech_01
~g~Ashley CS            ,   cs_ashley
~g~Ashley IG            ,   ig_ashley
~y~Autopsy              ,   s_m_y_autopsy_01
~y~Autoshop             ,   s_m_m_autoshop_01
~y~Autoshop             ,   s_m_m_autoshop_02
~y~Azteca               ,   g_m_y_azteca_01
~y~Babyd                ,   u_m_y_babyd
~y~Balla East           ,   g_m_y_ballaeast_01
~y~Balla Orig           ,   g_m_y_ballaorig_01
~y~Ballas               ,   g_f_y_ballas_01
~g~Balla SOG CS         ,   csb_ballasog
~g~Balla SOG IG         ,   ig_ballasog
~y~Ballas Out           ,   g_m_y_ballasout_01
~y~Bankman CS           ,   cs_bankman
~y~Bankman IG           ,   ig_bankman
~y~Bankman U            ,   u_m_m_bankman
~y~Barman               ,   s_m_y_barman_01
~y~Barberette           ,   s_f_m_fembarber
~g~Barry CS             ,   cs_barry
~g~Barry IG             ,   ig_barry
~y~Bartender            ,   s_f_y_bartender_01
~y~Baygor               ,   u_m_y_baygor
~g~Baywatch Chick       ,   s_f_y_baywatch_01
~g~Baywatch Dude        ,   s_m_y_baywatch_01
~g~Beach Babe           ,   a_f_m_beach_01
~g~Beach Babe           ,   a_f_y_beach_01
~y~Beach Dude           ,   a_m_m_beach_01
~y~Beach Dude           ,   a_m_m_beach_02
~y~Beach Dude           ,   a_m_o_beach_01
~y~Beach Dude           ,   a_m_y_beach_01
~y~Beach Dude           ,   a_m_y_beach_02
~y~Beach Dude           ,   a_m_y_beach_03
~y~Beach Dude           ,   a_m_y_beachvesp_01
~y~Beach Dude           ,   a_m_y_beachvesp_02
~y~Bestmen              ,   ig_bestmen
~g~Beverly CS           ,   cs_beverly
~g~Beverly IG           ,   ig_beverly
~y~BHills Babe          ,   a_f_m_bevhills_01
~y~BHills Babe          ,   a_f_m_bevhills_02
~y~BHills Babe          ,   a_f_y_bevhills_01
~y~BHills Babe          ,   a_f_y_bevhills_02
~y~BHills Babe          ,   a_f_y_bevhills_03
~y~BHills Babe          ,   a_f_y_bevhills_04
